DateTime:,24:03.1,,,,,,,,,,,,,,,
name,platform,release year,publisher,north america sales,PAL sales,japan sales,rest of world sales,global sales,release date,critic score,critic outof,critic count,user score,user count,developer,rating
Naruto Shippuden: Gekitou Ninja Taisen Special,Takara Tomy,02nd Dec 10  ,Takara Tomy,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Jissen Pachislot Secrets! Fist of the North Star F - Seikimatsu Kyuuseishu Densetsu,Sega,31st May 12  ,Sega,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Kekkon: Marriage,Shogakukan,15th Dec 95  ,Shogakukan,N/A,N/A,0.06m,0.00m,0.06m,,,,,,,,
Challenge Me: Brain Puzzles,O-Games,26th May 09  ,O-Games,0.06m,0.00m,N/A,0.00m,0.06m,,,,,,,,
KimiKiss,Enterbrain,25th May 06  ,Enterbrain,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Nicola Kanshuu: Model * Oshare Audition 2,Alchemist,03rd Nov 11  ,Alchemist,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Cold Fear,Ubisoft,15th Mar 05  ,Ubisoft,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Nicktoons MLB 3D,2K Games,06th Mar 12  ,2K Games,0.06m,N/A,N/A,0.01m,0.06m,,,,,,,,
Hisshou Pachinko*Pachi-Slot Kouryaku Series Portable Vol. 1: Shinseiki Evangelion - Tamashii no Kiseki,D3 Publisher,03rd Jun 10  ,D3 Publisher,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Shining Force Feather,Sega,19th Feb 09  ,Sega,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Star Trek: Tactical Assault,Bethesda Softworks,26th Oct 06  ,Bethesda Softworks,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
OK! Puzzle Stars,Ubisoft,23rd Apr 10  ,Ubisoft,N/A,0.05m,N/A,0.01m,0.06m,,,,,,,,
Highway 2000,Natsume,01st Jan 96  ,Natsume,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Imagine: Cheerleader,Ubisoft,27th Jan 09  ,Ubisoft,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
EverQuest II: Destiny of Velious,Sony Online Entertainment,22nd Feb 11  ,Sony Online Entertainment,0.06m,N/A,N/A,0.01m,0.06m,,,,,,,,
Cartoon Network Battle Crashers,GameMill,08th Nov 16  ,GameMill,0.04m,0.01m,N/A,0.01m,0.06m,,,,,,,,
DropCast,THQ,22nd Sep 08  ,THQ,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
Cocoto Kart Racer,Conspiracy Entertainment,24th Jun 08  ,Conspiracy Entertainment,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
The Book of Unwritten Tales: The Critter Chronicles,Crimson Cow,06th Oct 11  ,Crimson Cow,N/A,0.05m,N/A,0.01m,0.06m,,,,,,,,
Mobile Suit Gundam 00: Gundam Meisters,Namco Bandai,16th Oct 08  ,Namco Bandai,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Call of Cthulhu: Dark Corners of the Earth,2K Games,24th Oct 05  ,2K Games,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
The Great Escape,Gotham Games,23rd Jul 08  ,Gotham Games,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Alien Syndrome,Sega,24th Jul 07  ,Sega,0.05m,0.00m,N/A,0.00m,0.06m,,,,,,,,
Nights of Azure 2: Bride of the New Moon,Tecmo Koei,24th Oct 17  ,Tecmo Koei,0.02m,0.02m,0.01m,0.00m,0.06m,,,,,,,,
The Document of Metal Gear Solid 2,Konami,24th Sep 02  ,Konami,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
Minna no DS Seminar: Kanpeki Eitango Ryoku,TDK Core,20th Jul 06  ,TDK Core,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
PenPen TriIceLon,Infogrames,09th Sep 99  ,Infogrames,N/A,N/A,0.06m,0.00m,0.06m,,,,,,,,
Kirarin * Revolution: Minna de Odorou Furi Furi Debut!,Konami,24th Jul 08  ,Konami,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
SBK 2011: FIM Superbike World Championship,Black Bean Games,11th May 11  ,Black Bean Games,N/A,0.05m,N/A,0.01m,0.06m,,,,,,,,
Salt Lake 2002,Ubisoft,19th Jan 02  ,Ubisoft,0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
Chevrolet Camaro: Wild Ride,Storm City Games,30th Oct 10  ,Storm City Games,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
PAC-MAN and the Ghostly Adventures,Namco Bandai Games,29th Oct 13  ,Namco Bandai Games,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
Uta no Prince-Sama: Music 3,Broccoli,28th Jan 16  ,Broccoli,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
MX vs. ATV Supercross Encore,Nordic Games,27th Oct 15  ,Nordic Games,N/A,0.05m,N/A,0.01m,0.06m,,,,,,,,
Cartoon Network Battle Crashers,GameMill,08th Nov 16  ,GameMill,0.05m,0.01m,N/A,0.01m,0.06m,,,,,,,,
Crazy Chicken Tales,Conspiracy Entertainment,01st Dec 09  ,Conspiracy Entertainment,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
Stranger of Sword City,NIS America,26th Apr 16  ,NIS America,0.04m,0.01m,N/A,0.02m,0.06m,,,,,,,,
Vexx,Acclaim Entertainment,10th Feb 03  ,Acclaim Entertainment,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Arkanoid DS,Square Enix,17th Jun 08  ,Square Enix,0.06m,0.00m,N/A,0.00m,0.06m,,,,,,,,
"b""Disneys Kim Possible: Global Gemini""",Disney Interactive Studios,13th Feb 07  ,Disney Interactive Studios,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Hagane no Renkinjutsushi - Fullmetal Alchemist: Yakusoku no Hi e,Namco Bandai,20th May 10  ,Namco Bandai,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Mega Man Battle Network 5: Double Team DS (US sales),Capcom,01st Nov 05  ,Capcom,0.06m,N/A,N/A,N/A,0.06m,,,,,,,,
Batman: Rise of Sin Tzu,Ubisoft,11th Nov 03  ,Ubisoft,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
"b""Greys Anatomy: The Video Game""",Ubisoft,04th Mar 09  ,Ubisoft,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
"b""SpongeBob SquarePants: Planktons Robotic Revenge""",Activision,22nd Oct 13  ,Activision,N/A,0.06m,N/A,0.00m,0.06m,,,,,,,,
MX vs ATV Supercross Encore 2017 Track Edition,THQ Nordic,04th Jan 17  ,THQ Nordic,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
"b""Santa Claus Is Comin to Town!""",Crave Entertainment,08th Nov 11  ,Crave Entertainment,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
The Next BIG Thing,Focus Home Interactive,21st Apr 11  ,Focus Home Interactive,N/A,0.05m,N/A,0.01m,0.06m,,,,,,,,
Disney Sports Skateboarding,Konami,17th Nov 02  ,Konami,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Puyo Puyo Tetris,Sega,06th Feb 14  ,Sega,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
"b""Sword Art Online: Game Directors Edition""",Namco Bandai Games,19th Nov 15  ,Namco Bandai Games,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Create,Electronic Arts,16th Nov 10  ,Electronic Arts,0.04m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Hasbro Family Fun Pack Conquest Edition,Ubisoft,15th Nov 16  ,Ubisoft,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
Deformers,Ready at Dawn,21st Apr 17  ,Ready at Dawn,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
Dead Rising 2: Off the Record,Capcom,11th Oct 11  ,Capcom,0.04m,0.02m,N/A,0.01m,0.06m,,,,,,,,
New Prince of Tennis: Go to the Top,FuRyu Corporation,05th Mar 15  ,FuRyu Corporation,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
"b""Nobunagas Ambition: Taishi""",Koei Tecmo,05th Jun 18  ,Koei Tecmo,0.01m,N/A,0.05m,0.00m,0.06m,,,,,,,,
Tsumiki: Block Drop Mania,SouthPeak Interactive,18th Nov 11  ,SouthPeak Interactive,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
Dreamer Series: Zoo Keeper,DreamCatcher Interactive,04th Jan 10  ,DreamCatcher Interactive,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
Magi: Aratanaru Sekai,Namco Bandai Games,14th Feb 14  ,Namco Bandai Games,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Summon Night 2,Bandai,07th Aug 08  ,Bandai,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Big Bang Mini    Read the review,SouthPeak Interactive,21st Jan 09  ,SouthPeak Interactive,0.05m,0.00m,N/A,0.00m,0.06m,,,,,,,,
Chou Soujuu Mecha MG,Nintendo,02nd Sep 06  ,Nintendo,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Chou Soujuu Mecha MG,Unknown,N/A  ,Unknown,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Pro Evolution Soccer 2012,Konami,08th Nov 11  ,Konami,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Terminator 3: The Redemption,Atari,02nd Sep 04  ,Atari,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Call of Duty 2,Activision,25th Oct 05  ,Activision,0.00m,0.05m,N/A,0.01m,0.06m,,,,,,,,
"b""Sherlock Holmes: The Devils Daughter""",Bigben Interactive,25th Oct 16  ,Bigben Interactive,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
Busy Scissors,Little Orbit,26th Oct 10  ,Little Orbit,0.06m,0.00m,N/A,0.00m,0.06m,,,,,,,,
Rurouni Kenshin: Meiji Kenyaku Romantan - Kansen,Namco Bandai Games,30th Aug 12  ,Namco Bandai Games,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Coded Arms: Contagion,Konami,18th Sep 07  ,Konami,0.05m,0.00m,N/A,0.01m,0.06m,,,,,,,,
Shiren The Wanderer: The Tower of Fortune and the Dice of Fate,Aksys Games,26th Jul 16  ,Aksys Games,0.01m,N/A,0.04m,0.01m,0.06m,,,,,,,,
"b""Cabelas Big Game Hunter (2008)""",Activision,07th Nov 07  ,Activision,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
Serious Sam II,2K Games,11th Oct 05  ,2K Games,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Neon Genesis Evangelion,Bandai,25th Jun 99  ,Bandai,N/A,N/A,0.06m,0.00m,0.06m,,,,,,,,
World Series of Poker 2008: Battle for the Bracelets,Activision,06th Nov 07  ,Activision,0.05m,0.00m,N/A,0.00m,0.06m,,,,,,,,
"b""Fosters Home for Imaginary Friends: Imagination Invaders""",Midway Games,12th Nov 07  ,Midway Games,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
Flipnic: Ultimate Pinball,Capcom,13th Jul 05  ,Capcom,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
ICO,Sony Computer Entertainment,22nd Sep 11  ,Sony Computer Entertainment,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Eigo de Tabisuru: Little Charo,Nintendo,20th Jan 11  ,Nintendo,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
NBA Hangtime,Midway Games,01st Jan 97  ,Midway Games,0.03m,0.02m,N/A,0.00m,0.06m,,,,,,,,
MX vs. ATV Supercross Encore,Nordic Games,27th Oct 15  ,Nordic Games,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
D.C. II P.S.: Da Capo II Plus Situation,Kadokawa Shoten,29th May 08  ,Kadokawa Shoten,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Blood Bowl,SouthPeak Interactive,26th Jan 10  ,SouthPeak Interactive,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
MotoGP 10/11,Capcom,15th Mar 11  ,Capcom,N/A,0.05m,N/A,0.01m,0.06m,,,,,,,,
World Cup of Pool,Aksys Games,09th Feb 10  ,Aksys Games,0.06m,0.00m,N/A,0.00m,0.06m,,,,,,,,
Brunswick Circuit Pro Bowling,THQ,23rd Dec 99  ,THQ,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
"b""Bust-A-Move 99""",Acclaim Entertainment,30th Apr 99  ,Acclaim Entertainment,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
CyberTiger,Electronic Arts,29th Feb 00  ,Electronic Arts,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
"b""Mike Piazzas Strike Zone""",GT Interactive,16th Jun 98  ,GT Interactive,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Olympic Hockey 98,Midway Games,23rd Feb 98  ,Midway Games,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Penny Racers,THQ,10th Feb 99  ,THQ,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
S.C.A.R.S,Ubisoft,04th Dec 98  ,Ubisoft,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Star Soldier: Vanishing Earth,Electro Brain,15th Dec 98  ,Electro Brain,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Top Gear Hyper-Bike,Kemco,21st Mar 00  ,Kemco,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Virtual Chess 64,Titus,10th Jun 98  ,Titus,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Marvel Super Heroes,Capcom,29th Sep 97  ,Capcom,N/A,N/A,0.06m,0.00m,0.06m,,,,,,,,
Polaris SnoCross,Vatical Entertainment,27th Dec 00  ,Vatical Entertainment,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Worms Blast,Ubisoft,24th Oct 02  ,Ubisoft,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Prinny: Can I Really Be The Hero? (US sales),Unknown,N/A  ,Unknown,0.06m,N/A,N/A,N/A,0.06m,,,,,,,,
Blur,Activision,25th May 10  ,Activision,0.01m,0.04m,N/A,0.01m,0.06m,,,,,,,,
"b""Smile PreCure! Lets Go! Marchen World""",Namco Bandai Games,02nd Aug 12  ,Namco Bandai Games,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Killing Floor 2,Tripwire Interactive,29th Aug 17  ,Tripwire Interactive,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
I Love Beauty: Hollywood Makeover,City Interactive,20th May 09  ,City Interactive,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
IHRA Professional Drag Racing 2005,Bethesda Softworks,08th Nov 04  ,Bethesda Softworks,0.04m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Tokyo Xtreme Racer Advance,Crave Entertainment,20th Apr 05  ,Crave Entertainment,0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
Rock Blast,UFO Interactive,05th Aug 08  ,UFO Interactive,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
Stern Pinball Arcade,Alliance Digital Media,12th Dec 17  ,Alliance Digital Media,0.05m,0.01m,N/A,0.01m,0.06m,,,,,,,,
Warriors of the Lost Empire,UFO Interactive,13th Dec 07  ,UFO Interactive,0.05m,0.00m,N/A,0.00m,0.06m,,,,,,,,
Showtime Championship Boxing,DSI Games,10th Nov 07  ,DSI Games,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
Little League World Series Baseball 2008,Activision,05th Aug 08  ,Activision,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
Combat Elite: WWII Paratroopers,SouthPeak Interactive,21st Nov 05  ,SouthPeak Interactive,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
Power Pro Success Legends,Konami,25th Feb 10  ,Konami,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Killer Loop,Crave Entertainment,31st Oct 99  ,Crave Entertainment,0.03m,0.02m,N/A,0.00m,0.06m,,,,,,,,
"b""Cabelas Dangerous Hunts: Ultimate Challenge""",Activision,04th Apr 06  ,Activision,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
Worldwide Soccer,Sega,01st Jan 95  ,Sega,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Puzzler Collection,Zoo Digital Publishing,29th Jul 08  ,Zoo Digital Publishing,0.05m,0.00m,N/A,0.00m,0.06m,,,,,,,,
Toriko: Gourmet Battle!,Namco Bandai Games,04th Jul 13  ,Namco Bandai Games,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Jewel Link Chronicles: Mountains of Madness,Unknown,08th Feb 12  ,Unknown,N/A,0.05m,N/A,0.01m,0.06m,,,,,,,,
Commandos: Strike Force,Eidos Interactive,04th Apr 06  ,Eidos Interactive,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
Mobile Suit Gundam: Gundam vs. Zeta Gundam,Bandai,28th Jun 05  ,Bandai,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
Rapala Pro Fishing,Activision,31st Aug 04  ,Activision,0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
Nobunaga no Yabou: Souzou,Tecmo Koei,22nd Feb 14  ,Tecmo Koei,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Guilty Gear X: Advance Edition,Sammy Corporation,29th Aug 02  ,Sammy Corporation,0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
Unreal Tournament III     Read the review,Midway Games,19th Nov 07  ,Midway Games,N/A,0.05m,N/A,0.01m,0.06m,,,,,,,,
Fate/Tiger Colosseum Upper,Capcom,28th Aug 08  ,Capcom,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS3 Deluxe,Rocket Company,09th Apr 09  ,Rocket Company,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Pop Cutie! Street Fashion Simulation,KOEI,06th Oct 08  ,KOEI,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
S.T.A.L.K.E.R.: Call of Pripyat,Viva Media,02nd Feb 10  ,Viva Media,0.00m,0.05m,N/A,0.01m,0.06m,,,,,,,,
Ford Racing 3,"Destination Software, Inc",03rd Nov 05  ,"Destination Software, Inc",0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
Samurai Warriors 4-II,Tecmo Koei,29th Sep 15  ,Tecmo Koei,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Fate/Extella Link,Marvelous,07th Jun 18  ,Marvelous,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Dragon Quest X: All in One Package,Square Enix,17th Aug 17  ,Square Enix,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
The Witcher,Atari,30th Oct 07  ,Atari,N/A,0.05m,N/A,0.01m,0.06m,,,,,,,,
Playmobil Knights,DreamCatcher Interactive,25th Jan 10  ,DreamCatcher Interactive,0.04m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Pheasants Forever Wingshooter,GameMill,06th Oct 10  ,GameMill,0.03m,0.02m,N/A,0.00m,0.06m,,,,,,,,
PachiPara 13: Super Umi no Pachi-Pro Fuuunroku,Irem Software Engineering,26th Oct 06  ,Irem Software Engineering,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
R.B.I. Baseball 2016,MLB.com,05th Apr 16  ,MLB.com,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
World Soccer Winning Eleven 9 (US sales),Konami,07th Feb 06  ,Konami,0.05m,N/A,N/A,0.00m,0.06m,,,,,,,,
Imagine: Resort Owner,Ubisoft,26th Oct 10  ,Ubisoft,0.05m,0.00m,N/A,0.00m,0.06m,,,,,,,,
Winning Post 4 Maximum,KOEI,28th Sep 00  ,KOEI,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Xiaolin Showdown,Konami,14th Nov 06  ,Konami,0.05m,0.00m,N/A,0.00m,0.06m,,,,,,,,
"b""Oddworld: Munchs Oddysee""",THQ,24th Sep 03  ,THQ,0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
Exhibition Volume 5,Microsoft,27th May 04  ,Microsoft,0.04m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Record of Lodoss War: Eiyuu Sensou,Sega,20th May 94  ,Sega,N/A,N/A,0.06m,0.00m,0.06m,,,,,,,,
Pro Yakyuu Netsu Star 2007,Bandai,05th Apr 07  ,Bandai,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Starry * Sky: In Summer - PSP Edition,Asgard,30th Sep 10  ,Asgard,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Klonoa Beach Volleyball,Namco,20th Sep 02  ,Namco,0.03m,0.02m,N/A,0.00m,0.06m,,,,,,,,
Dungeon Travelers 2-2: The Maiden Who Fell into Darkness and the Book of Beginnings,Aquaplus,20th Apr 17  ,Aquaplus,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Melty Blood: Actress Again,Ecole,20th Aug 09  ,Ecole,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Monster Energy Supercross - The Official Videogame,Milestone S.r.l.,13th Feb 18  ,Milestone S.r.l.,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
3D Lemmings,Psygnosis,01st Nov 95  ,Psygnosis,0.03m,0.02m,N/A,0.00m,0.06m,,,,,,,,
Hi Hi Puffy AmiYumi: Kaznapped,D3 Publisher,20th Nov 05  ,D3 Publisher,0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
Mercury Meltdown,Ignition Entertainment,03rd Oct 06  ,Ignition Entertainment,0.05m,0.00m,N/A,0.01m,0.06m,,,,,,,,
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings    Read the review,Tecmo Koei,27th Mar 18  ,Tecmo Koei,0.03m,N/A,0.03m,0.01m,0.06m,,,,,,,,
"b""My Hero Ones Justice""",Bandai Namco Entertainment,26th Oct 18  ,Bandai Namco Entertainment,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
Resident Evil - Code: Veronica X,Capcom,03rd Dec 03  ,Capcom,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Broken Sword: The Shadow of the Templars,BAM! Entertainment,17th Mar 02  ,BAM! Entertainment,0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
Paws & Claws: Pampered Pets 2,THQ,24th May 11  ,THQ,0.05m,N/A,N/A,0.00m,0.06m,,,,,,,,
Tenchi Muyou! Ryoukouki Gokuraku,Yumedia,29th Sep 95  ,Yumedia,N/A,N/A,0.06m,0.00m,0.06m,,,,,,,,
Adventure Time: The Secret of the Nameless Kingdom,Little Orbit,18th Oct 14  ,Little Orbit,0.00m,0.05m,N/A,0.00m,0.06m,,,,,,,,
"b""Kelly Slaters Pro Surfer""",Activision,16th Sep 02  ,Activision,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Inversion,Namco Bandai Games,05th Jun 12  ,Namco Bandai Games,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
Kamen Rider: Super Climax Heroes,Namco Bandai Games,29th Nov 12  ,Namco Bandai Games,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Trapt,Tecmo,01st Nov 05  ,Tecmo,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
Satisfashion,Destineer,08th Jun 10  ,Destineer,0.05m,N/A,N/A,0.00m,0.06m,,,,,,,,
"b""Resident Evil Directors Cut""",Sony Computer Entertainment,28th May 09  ,Sony Computer Entertainment,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Splat Renegade Paintball,Take-Two Interactive,11th Oct 05  ,Take-Two Interactive,0.04m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Mayhem 3D,Evolved Games,22nd Mar 11  ,Evolved Games,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
Theresia...,Aksys Games,30th Oct 08  ,Aksys Games,0.05m,N/A,N/A,0.00m,0.06m,,,,,,,,
Metal Max 4: Gekkou no Diva,Kadokawa Shoten,07th Nov 13  ,Kadokawa Shoten,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Ivy the Kiwi?,Xseed Games,24th Aug 10  ,Xseed Games,0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
The Amazing Spider-Man 2 (2014),Activision,29th Apr 14  ,Activision,0.03m,0.03m,N/A,0.00m,0.06m,,,,,,,,
Worms 3D,Sega,01st Mar 05  ,Sega,0.04m,0.01m,N/A,0.00m,0.06m,,,,,,,,
Vampire Rain: Altered Species,Ignition Entertainment,02nd Sep 08  ,Ignition Entertainment,0.05m,0.00m,0.00m,0.01m,0.06m,,,,,,,,
Game of Thrones: A Telltale Games Series,Telltale Games,17th Nov 15  ,Telltale Games,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
Winter Sports 2: The Next Challenge,Conspiracy Entertainment,18th Nov 08  ,Conspiracy Entertainment,0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
PoPoLoCrois,Agetec,29th Nov 05  ,Agetec,0.05m,0.00m,N/A,0.00m,0.06m,,,,,,,,
Dragon Rage,3DO,27th Nov 01  ,3DO,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
X-Plane 11,Aerosoft,06th Apr 17  ,Aerosoft,N/A,0.06m,N/A,0.00m,0.06m,,,,,,,,
FIFA 07 Soccer,EA Sports,03rd Oct 06  ,EA Sports,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
LEGO Friends,Warner Bros. Interactive Entertainment,12th Nov 13  ,Warner Bros. Interactive Entertainment,N/A,0.06m,N/A,0.00m,0.06m,,,,,,,,
Dance Sensation!,Majesco,04th May 10  ,Majesco,0.06m,N/A,N/A,0.00m,0.06m,,,,,,,,
Atari Flashback Classics: Volume 2,Atari,12th Oct 16  ,Atari,0.05m,N/A,N/A,0.01m,0.06m,,,,,,,,
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami,01st Nov 05  ,Konami,0.05m,0.00m,N/A,0.00m,0.06m,,,,,,,,
F1 2015,Codemasters,21st Jul 15  ,Codemasters,N/A,0.06m,N/A,0.00m,0.06m,,,,,,,,
Call of Duty: The War Collection,Activision,08th Jun 10  ,Activision,0.05m,N/A,N/A,0.00m,0.06m,,,,,,,,
"b""Jumper: Griffins Story""",Brash Entertainment,12th Feb 08  ,Brash Entertainment,0.05m,0.00m,N/A,0.00m,0.06m,,,,,,,,
Raw Danger! (JP sales),Agetec,19th Jun 07  ,Agetec,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Archer Maclean Presents: Pool Paradise,Ignition Entertainment,13th Jul 04  ,Ignition Entertainment,0.03m,0.02m,N/A,0.01m,0.06m,,,,,,,,
Kamen Rider: Battride War Genesis,Namco Bandai Games,25th Feb 16  ,Namco Bandai Games,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Tabi no Yubisashi Kaiwachou DS: DS Series 3 Kankoku,Nintendo,20th Apr 06  ,Nintendo,N/A,N/A,0.06m,N/A,0.06m,,,,,,,,
Pro Evolution Soccer 2011,Konami,05th Oct 10  ,Konami,N/A,0.05m,N/A,0.01m,0.06m,,,,,,,,
Backyard Skateboarding 2006,Atari,04th Oct 04  ,Atari,0.04m,0.02m,N/A,0.00m,0.06m,,,,,,,,
"b""Brave: A Warriors Tale""",SouthPeak Interactive,04th Aug 09  ,SouthPeak Interactive,0.05m,0.01m,N/A,0.00m,0.06m,,,,,,,,
